ORISPL_CODE,UNITID,NAME,STATE,FUEL,GAS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
477,5,Valmont,CO,coal,CO2,1424889.77,1362313.441,1565444.907,1511145.351,1622190.907,1374742.16,1464298.346,1387144.845,1384821.747,1222576.283,1167086.79,1197772.841,1213554.019,1213520.117,1216289.374,1104730.255,208229.799,
477,5,Valmont,CO,coal,SO2,10097873.09,7572757.72,1262205.736,1651938.246,1757218.659,1496013.335,1575830.777,1479004.886,3552532.984,2274878.906,2035215.412,1532836.965,2112201.572,1778677.86,1752452.562,1742985.73,336969.15,
477,5,Valmont,CO,coal,NOX,3973282.139,4113769.496,4952939.938,4861868.337,5028291.909,4607882.261,4721486.558,4553198.404,4080876.484,4105435.303,3992137.921,3805490.74,3902240.148,4120246.107,3890813.266,3528245.877,581528.981,
477,5,Valmont,CO,coal,gen,1560218.76,1343260.52,1533884.34,1430205.36,1583760.68,1338144.66,1408777.13,1253125.57,1176279.26,1151714.74,1086291.99,1077964.11,1057180.97,1112872.07,1126580.97,1076051.9,224147.32,
492,5,Martin Drake,CO,coal,CO2,419302.65,399761.325,344884.425,389058.95,374834.4,422732.225,354698.465,454334.593,384985.207,448995.717,404678.286,438632.922,416971.941,128600.866,288171.602,4679.674,,
492,5,Martin Drake,CO,coal,SO2,3374508.825,3155330.8,2647377.725,2920741.675,2680619.675,2716557.1,2298853.16,2599821.731,2235386.647,2087194.15,2098032.919,2216704.127,1963739.626,555248.317,1160219.797,12994.363,,
492,5,Martin Drake,CO,coal,NOX,1714663.123,1587325.409,1443326.008,1594231.3,1536387.256,1603429.537,1392246.759,1614851.99,1387901.683,1376254.676,1248674.231,1423555.987,1368742.35,434768.829,986992.759,17201.424,,
492,5,Martin Drake,CO,coal,gen,365901.5,354683.75,296264,341107,333087.75,384591.5,324988.14,402331.36,333684.93,380986.77,341998.29,361195.58,353337.02,112643.37,225455.59,3776.94,,
492,6,Martin Drake,CO,coal,CO2,647452.875,778866.55,734660.125,638957.05,759938.9,661051.2,727921.968,662644.626,719027.856,632814.43,546445.919,618191.02,652251.731,550003.484,648812.547,485440.656,401676.22,30075.894
492,6,Martin Drake,CO,coal,SO2,4934368.225,6038396.325,5654537.975,4889232.65,5859993.625,5346678.675,5983984.376,5381209.649,5638655.638,4085039.206,3333887.336,3359424.97,3189683.046,2543292.93,2895374.903,1448192.678,107644.579,6491.672
492,6,Martin Drake,CO,coal,NOX,2554813.817,2829404.17,2710547.435,2504433.3,2816366.027,2653640.816,3033257.717,2789616.268,2815162.005,2218977.746,1809616.531,1778568.913,1674398.564,1216372.186,1340935.149,979767.585,841307.565,65766.051
492,6,Martin Drake,CO,coal,gen,562887.75,636190.75,598490.5,548525.25,661685.5,586231,658543.75,579711.25,597728.98,512065.11,444947.87,480799.26,526604.31,438014.54,520783.94,396380.23,337468.12,24610
492,7,Martin Drake,CO,coal,CO2,1195888.05,1014376.15,1242168.25,996213.85,1291527.2,1039860.15,1173556.569,975522.969,1150671.744,885044.449,912221.577,714965.211,787453.141,805675.596,867269.702,832746.68,690506.865,97594.239
492,7,Martin Drake,CO,coal,SO2,9290762.925,7865097.95,9537747.55,7546796.125,9787990.5,8797849.35,9976960.463,7797468.073,8086055.863,5895170.584,5886113.433,4007728.599,4007158.785,3804884.981,3863455.098,1783620.348,427389.072,18076.608
492,7,Martin Drake,CO,coal,NOX,4864848.392,3993229.619,4304106.192,3670303.196,5535788.133,3632707.05,4700183.832,4152960.358,4815950.223,3235404.379,3252319.889,2530882.772,2185958.147,1847994.442,1944570.558,1882003.236,1541303.605,219552.522
492,7,Martin Drake,CO,coal,gen,1122787.75,952752,1153378.5,944569.5,1215899,993926.75,1116322.3,933093.71,1069060.38,856984.33,878545.84,681707.42,723869.81,711436.89,766224.87,750808.89,617537.14,89296.85
508,8,Lamar,CO,coal,CO2,,,,,,,,,79443.65,231034.4,57075.125,,,,,,,
508,8,Lamar,CO,coal,SO2,,,,,,,,,544594.375,377675.225,79580.3,,,,,,,
508,8,Lamar,CO,coal,NOX,,,,,,,,,513435.514,619440.928,117969.695,,,,,,,
508,8,Lamar,CO,coal,gen,,,,,,,,,25413.75,127816,51699.5,,,,,,,
525,H1,Hayden,CO,coal,CO2,1951972.774,1932554.318,1555303.7,1918298.132,1981962.431,1674748.044,1962687.556,1855115.997,1456603.764,1848729.245,1761080.443,1076553.455,1700440.227,1714638.753,1319710.481,1420606.062,1167956.555,184195.16
525,H1,Hayden,CO,coal,SO2,2439139.376,2484578.197,2003110.087,2449741.635,2595075.222,2113250.373,2496729.157,2419307.992,1906720.282,2401258.395,2201847.684,1305701.927,2047683.71,2002213.945,1545820.482,1683464.28,1386114.516,230874.66
525,H1,Hayden,CO,coal,NOX,8268964.092,8278421.629,6682328.207,8114050.157,8189061.163,7070723.541,8162963.484,7267173.847,6081906.948,7811459.391,7643293.605,4583479.669,6708182.382,6811277.647,4315606.574,587853.52,467024.969,87161.689
525,H1,Hayden,CO,coal,gen,1673604.15,1629374.17,1376905.13,1651926.91,1686876.58,1426859.91,1669471.62,1632701.16,1280506.76,1616213.34,1490293.05,929586.13,1464047.68,1467996.94,1128821.47,1208976.28,992760.36,153302.2
525,H2,Hayden,CO,coal,CO2,2283602.853,2500622.878,2388452.201,2272820.477,2486889.938,2577832.973,2335858.6,2149197.435,2328390.037,2270022.121,1619059.871,1820620.634,1994788.087,2011221.768,2066903.171,1476317.297,1212501.369,172033.811
525,H2,Hayden,CO,coal,SO2,2979131.93,3251303.199,2884706.043,2782170.282,3187042.416,3199527.376,2940091.991,2673590.161,2952524.294,2851560.41,2066712.596,2331961.866,2613878.217,2451216.376,2427497.534,1709921.651,1424879.314,218985
